model,policy,z,scope,group,fill_rate,stockout_units,excess_units,stockout_skumonth_rate,excess_per_unit_shortage,n_rows
M4_gbm_absolute,forecast_only,1.645000,month,2011-07,0.656164,94426.000000,35745.000000,0.442629,0.378550,2693
M4_gbm_absolute,forecast_only,1.645000,month,2011-08,0.655941,99184.000000,40717.000000,0.374357,0.410520,2722
M4_gbm_absolute,forecast_only,1.645000,month,2011-09,0.549835,179552.000000,38757.000000,0.438105,0.215854,2787
M4_gbm_absolute,forecast_only,1.645000,month,2011-10,0.624667,160134.000000,67239.000000,0.385517,0.419892,2817
M4_gbm_absolute,forecast_only,1.645000,month,2011-11,0.597972,212395.000000,49358.000000,0.487752,0.232388,2776
M4_gbm_absolute,forecast_only,1.645000,abc,A,0.662023,531888.000000,183321.000000,0.497170,0.344661,4771
M4_gbm_absolute,forecast_only,1.645000,abc,B,0.512764,205337.000000,55495.000000,0.462798,0.270263,4825
M4_gbm_absolute,forecast_only,1.645000,abc,C,0.431704,110034.000000,33014.000000,0.345017,0.300035,6933
M4_gbm_absolute,forecast_only,2.050000,overall,all,0.612910,847259.000000,271830.000000,0.423317,0.320835,16529
M4_gbm_absolute,forecast_only,2.050000,month,2011-06,0.626697,101568.000000,40014.000000,0.411485,0.393963,2734
M4_gbm_absolute,forecast_only,2.050000,month,2011-07,0.656164,94426.000000,35745.000000,0.442629,0.378550,2693
M4_gbm_absolute,forecast_only,2.050000,month,2011-08,0.655941,99184.000000,40717.000000,0.374357,0.410520,2722
M4_gbm_absolute,forecast_only,2.050000,month,2011-09,0.549835,179552.000000,38757.000000,0.438105,0.215854,2787
M4_gbm_absolute,forecast_only,2.050000,month,2011-10,0.624667,160134.000000,67239.000000,0.385517,0.419892,2817
M4_gbm_absolute,forecast_only,2.050000,month,2011-11,0.597972,212395.000000,49358.000000,0.487752,0.232388,2776
M4_gbm_absolute,forecast_only,2.050000,abc,A,0.662023,531888.000000,183321.000000,0.497170,0.344661,4771
M4_gbm_absolute,forecast_only,2.050000,abc,B,0.512764,205337.000000,55495.000000,0.462798,0.270263,4825
M4_gbm_absolute,forecast_only,2.050000,abc,C,0.431704,110034.000000,33014.000000,0.345017,0.300035,6933
M4_gbm_absolute,forecast_plus_ss,1.280000,overall,all,0.813871,407398.000000,1237433.000000,0.169097,3.037406,16529
M4_gbm_absolute,forecast_plus_ss,1.280000,month,2011-06,0.849783,40871.000000,209954.000000,0.147403,5.136992,2734
M4_gbm_absolute,forecast_plus_ss,1.280000,month,2011-07,0.866636,36625.000000,209286.000000,0.155960,5.714294,2693
M4_gbm_absolute,forecast_plus_ss,1.280000,month,2011-08,0.878901,34910.000000,202381.000000,0.113887,5.797221,2722
